,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,id,host_name,host_response_time,host_response_rate,host_is_superhost,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating
72,Cozy House in Ortaköy,Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,2.0,0,1.0,100.0,10488837,Orcun,,,0,,,,,,,
73,"Asia House, Garden Room, Princevile",Guest suite,Private room,Real Bed,3,21,strict_14_with_grace_period,2,1.0,1.0,167,1.0,139.0,1069531,Coral,within an hour,100.0,1,10.0,9.0,10.0,10.0,10.0,9.0,93.0
74,Cozy bedroom Sagrada Familia,Apartment,Private room,Real Bed,2,1125,flexible,2,1.0,2.0,1,1.0,20.0,10545725,Rapha,,,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
75,A large sunny bedroom,Apartment,Private room,Real Bed,3,1125,moderate,1,1.0,1.0,2,1.0,35.0,10332161,Ehssan,,,0,10.0,10.0,9.0,9.0,6.0,9.0,90.0
76,Serene luxury in Harlem,Apartment,Private room,Real Bed,3,1125,moderate,1,1.0,1.0,10,1.0,80.0,10612199,Erika,within an hour,100.0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
77,Rented Room,Apartment,Private room,Real Bed,1,1125,flexible,1,1.0,1.0,0,1.0,112.0,10471178,Jercilene,a few days or more,0.0,0,,,,,,,
78,Condomínio Praia Barra da Tijuca,Condominium,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,6,2.0,5.0,18,2.0,351.0,10519173,Paula,within an hour,88.0,0,10.0,10.0,10.0,10.0,10.0,9.0,95.0
79,Great location in Barcelona,Apartment,Entire home/apt,Real Bed,200,1125,strict_14_with_grace_period,5,4.0,4.0,2,1.0,31.0,10677883,Marina E Mickael,within an hour,100.0,0,10.0,8.0,10.0,10.0,6.0,8.0,60.0
80,Apartamento Mobiliado - Lgo do Machado,Apartment,Entire home/apt,Real Bed,30,365,strict_14_with_grace_period,4,1.0,2.0,0,1.0,149.0,10373872,Marcelo,within an hour,100.0,1,,,,,,,
81,Jubilee By The Sea (Ocean Views),House,Entire home/apt,Real Bed,2,90,strict_14_with_grace_period,11,4.0,6.0,45,2.0,325.0,10548991,Nate,within an hour,100.0,1,10.0,10.0,10.0,10.0,10.0,10.0,98.0
